-8.806 1.124 -1.026 1.82622 0. 0.17 0.201 25.105 5.539 1.26192 0. 0. 0.
-8.682 1.415 -1.319 1.93623 0. 0.197 0.227 23.594 6.551 1.8613 0. 0. 0.
-8.557 1.784 -1.67 2.12382 0. 0.227 0.258 21.851 7.714 2.76902 0. 0. 0.
-8.15 3.496 -2.535 2.12421 0. 0.332 0.258 16.031 6.587 2.76892 0. 0. 0.
-7.958 4.548 -2.943 2.12429 0. 0.381 0.258 13.604 6.055 2.76853 0. 0. 0.
-7.646 6.594 -3.607 2.12473 0. 0.462 0.258 10.089 5.19 2.76897 0. 0. 0.
-7.386 7.568 0.035 0.132297 0. 0.496 0 8.792 0.03 0.113842 0. 0. 0.
-7.216 7.56 0.013 0.132297 0. 0.496 0 8.785 0.011 0.113844 0. 0. 0.
-7.024 7.56 -0.013 0.132297 0. 0.496 0 8.785 -0.011 0.113844 0. 0. 0.
-6.855 7.568 -0.035 0.132297 0. 0.496 0 8.792 -0.03 0.113842 0. 0. 0.
-6.595 6.594 3.607 2.12473 0. 0.462 -0.258 10.089 -5.19 2.76897 0. 0. 0.
-6.197 4.063 2.762 2.12371 0. 0.36 -0.258 14.653 -6.291 2.76917 0. 0. 0.
-6.005 3.08 2.355 2.12533 0. 0.31 -0.258 17.171 -6.822 2.7686 0. 0. 0.
-5.683 1.784 1.67 2.12382 0. 0.227 -0.258 21.851 -7.714 2.76902 0. 0. 0.
-5.558 1.415 1.319 1.93623 0. 0.197 -0.227 23.594 -6.551 1.8613 0. 0. 0.
-5.434 1.124 1.026 1.82622 0. 0.17 -0.201 25.105 -5.539 1.26192 0. 0. 0.
-5.309 0.902 0.756 1.74228 0. 0.147 -0.176 26.345 -4.39 0.769486 0. 0. 0.
-5.184 0.745 0.504 1.68324 0. 0.127 -0.152 27.285 -3.133 0.396397 0. 0. 0.
-5.06 0.649 0.264 1.64822 0. 0.109 -0.129 27.901 -1.798 0.151708 0. 0. 0.
-4.935 0.613 0.031 1.63289 0. 0.094 -0.107 28.178 -0.42 0.0417489 0. 0. 0.
-4.81 0.634 -0.202 1.64165 0. 0.082 -0.085 28.109 0.969 0.0689801 0. 0. 0.
-4.686 0.714 -0.44 1.67171 0. 0.073 -0.064 27.697 2.334 0.232789 0. 0. 0.
-4.561 0.855 -0.688 1.72321 0. 0.066 -0.043 26.95 3.641 0.529012 0. 0. 0.
-4.436 1.059 -0.953 1.8019 0. 0.062 -0.023 25.888 4.859 0.950629 0. 0. 0.
-4.312 1.331 -1.239 1.90467 0. 0.061 -0.003 24.537 5.957 1.48697 0. 0. 0.
-4.187 1.679 -1.555 2.03575 0. 0.062 0.018 22.93 6.909 2.12535 0. 0. 0.
-4.062 2.11 -1.908 2.19927 0. 0.065 0.038 21.106 7.69 2.84924 0. 0. 0.
-3.938 2.634 -2.305 2.39674 0. 0.071 0.059 19.111 8.282 3.64144 0. 0. 0.
-3.813 3.264 -2.805 2.71692 0. 0.08 0.081 16.993 8.912 4.73276 0. 0. 0.
-3.501 5.279 -3.652 2.71587 0. 0.105 0.081 11.893 7.435 4.73213 0. 0. 0.
-3.321 6.403 -2.498 1.13072 0. 0.117 0.053 9.841 4.135 1.83906 0. 0. 0.
-2.787 9.393 -3.101 1.13022 0. 0.145 0.053 5.95 3.153 1.83889 0. 0. 0.
-2.607 9.911 0.284 0.109036 0. 0.15 0 5.215 1.017 0.390084 0. 0. 0.
-2.25 9.722 0.245 0.109034 0. 0.15 0 4.538 0.877 0.389848 0. 0. 0.
-2 9.606 0.218 0.109049 0. 0.15 0 4.124 0.78 0.39001 0. 0. 0.
-1.75 9.504 0.191 0.109057 0. 0.15 0 3.759 0.682 0.389764 0. 0. 0.
-1.5 9.415 0.164 0.10907 0. 0.15 0 3.442 0.585 0.389955 0. 0. 0.
-1.25 9.34 0.136 0.109047 0. 0.15 0 3.174 0.487 0.389782 0. 0. 0.
-1 9.279 0.109 0.109051 0. 0.15 0 2.954 0.39 0.390014 0. 0. 0.
-0.75 9.231 0.082 0.109059 0. 0.15 0 2.784 0.292 0.389822 0. 0. 0.
-0.5 9.197 0.055 0.10906 0. 0.15 0 2.662 0.195 0.389942 0. 0. 0.
-0.25 9.176 0.027 0.109059 0. 0.15 0 2.589 0.097 0.389884 0. 0. 0.
0 9.17 0 0.109051 0. 0.15 0 2.564 0 0.390016 0. 0. 0.
0.25 9.176 -0.027 0.109059 0. 0.15 0 2.589 -0.097 0.389884 0. 0. 0.
0.5 9.197 -0.055 0.10906 0. 0.15 0 2.662 -0.195 0.389942 0. 0. 0.
0.75 9.231 -0.082 0.109059 0. 0.15 0 2.784 -0.292 0.389822 0. 0. 0.
1 9.279 -0.109 0.109051 0. 0.15 0 2.954 -0.39 0.390014 0. 0. 0.
1.25 9.34 -0.136 0.109047 0. 0.15 0 3.174 -0.487 0.389782 0. 0. 0.
1.5 9.415 -0.164 0.10907 0. 0.15 0 3.442 -0.585 0.389955 0. 0. 0.
1.75 9.504 -0.191 0.109057 0. 0.15 0 3.759 -0.682 0.389764 0. 0. 0.
2 9.606 -0.218 0.109049 0. 0.15 0 4.124 -0.78 0.39001 0. 0. 0.
2.25 9.722 -0.245 0.109034 0. 0.15 0 4.538 -0.877 0.389848 0. 0. 0.
2.607 9.911 -0.284 0.109036 0. 0.15 0 5.215 -1.017 0.390084 0. 0. 0.
2.787 9.393 3.101 1.13022 0. 0.145 -0.053 5.95 -3.153 1.83889 0. 0. 0.
3.321 6.403 2.498 1.13072 0. 0.117 -0.053 9.841 -4.135 1.83906 0. 0. 0.
3.501 5.279 3.652 2.71587 0. 0.105 -0.081 11.893 -7.435 4.73213 0. 0. 0.
3.813 3.264 2.805 2.71692 0. 0.08 -0.081 16.993 -8.912 4.73276 0. 0. 0.
3.938 2.634 2.305 2.39674 0. 0.071 -0.059 19.111 -8.282 3.64144 0. 0. 0.
4.062 2.11 1.908 2.19927 0. 0.065 -0.038 21.106 -7.69 2.84924 0. 0. 0.
4.187 1.679 1.555 2.03575 0. 0.062 -0.018 22.93 -6.909 2.12535 0. 0. 0.
4.312 1.331 1.239 1.90467 0. 0.061 0.003 24.537 -5.957 1.48697 0. 0. 0.
4.436 1.059 0.953 1.8019 0. 0.062 0.023 25.888 -4.859 0.950629 0. 0. 0.
4.561 0.855 0.688 1.72321 0. 0.066 0.043 26.95 -3.641 0.529012 0. 0. 0.
4.686 0.714 0.44 1.67171 0. 0.073 0.064 27.697 -2.334 0.232789 0. 0. 0.
4.81 0.634 0.202 1.64165 0. 0.082 0.085 28.109 -0.969 0.0689801 0. 0. 0.
4.935 0.613 -0.031 1.63289 0. 0.094 0.107 28.178 0.42 0.0417489 0. 0. 0.
5.06 0.649 -0.264 1.64822 0. 0.109 0.129 27.901 1.798 0.151708 0. 0. 0.
5.184 0.745 -0.504 1.68324 0. 0.127 0.152 27.285 3.133 0.396397 0. 0. 0.
5.309 0.902 -0.756 1.74228 0. 0.147 0.176 26.345 4.39 0.769486 0. 0. 0.
5.434 1.124 -1.026 1.82622 0. 0.17 0.201 25.105 5.539 1.26192 0. 0. 0.
5.558 1.415 -1.319 1.93623 0. 0.197 0.227 23.594 6.551 1.8613 0. 0. 0.
5.683 1.784 -1.67 2.12382 0. 0.227 0.258 21.851 7.714 2.76902 0. 0. 0.
6.09 3.496 -2.535 2.12421 0. 0.332 0.258 16.031 6.587 2.76892 0. 0. 0.
6.282 4.548 -2.943 2.12429 0. 0.381 0.258 13.604 6.055 2.76853 0. 0. 0.
6.594 6.594 -3.607 2.12473 0. 0.462 0.258 10.089 5.19 2.76897 0. 0. 0.
6.854 7.568 0.035 0.132297 0. 0.496 0 8.792 0.03 0.113842 0. 0. 0.
7.024 7.56 0.013 0.132297 0. 0.496 0 8.785 0.011 0.113844 0. 0. 0.
7.216 7.56 -0.013 0.132297 0. 0.496 0 8.785 -0.011 0.113844 0. 0. 0.
7.385 7.568 -0.035 0.132297 0. 0.496 0 8.792 -0.03 0.113842 0. 0. 0.
7.645 6.594 3.607 2.12473 0. 0.462 -0.258 10.089 -5.19 2.76897 0. 0. 0.
8.043 4.063 2.762 2.12371 0. 0.36 -0.258 14.653 -6.291 2.76917 0. 0. 0.
8.235 3.08 2.355 2.12533 0. 0.31 -0.258 17.171 -6.822 2.7686 0. 0. 0.
8.557 1.784 1.67 2.12382 0. 0.227 -0.258 21.851 -7.714 2.76902 0. 0. 0.
8.682 1.415 1.319 1.93623 0. 0.197 -0.227 23.594 -6.551 1.8613 0. 0. 0.
8.806 1.124 1.026 1.82622 0. 0.17 -0.201 25.105 -5.539 1.26192 0. 0. 0.
8.931 0.902 0.756 1.74228 0. 0.147 -0.176 26.345 -4.39 0.769486 0. 0. 0.
9.056 0.745 0.504 1.68324 0. 0.127 -0.152 27.285 -3.133 0.396397 0. 0. 0.
9.18 0.649 0.264 1.64822 0. 0.109 -0.129 27.901 -1.798 0.151708 0. 0. 0.
9.305 0.613 0.031 1.63289 0. 0.094 -0.107 28.178 -0.42 0.0417489 0. 0. 0.
9.43 0.634 -0.202 1.64165 0. 0.082 -0.085 28.109 0.969 0.0689801 0. 0. 0.
9.554 0.714 -0.44 1.67171 0. 0.073 -0.064 27.697 2.334 0.232789 0. 0. 0.
9.679 0.855 -0.688 1.72321 0. 0.066 -0.043 26.95 3.641 0.529012 0. 0. 0.
9.804 1.059 -0.953 1.8019 0. 0.062 -0.023 25.888 4.859 0.950629 0. 0. 0.
9.928 1.331 -1.239 1.90467 0. 0.061 -0.003 24.537 5.957 1.48697 0. 0. 0.
10.053 1.679 -1.555 2.03575 0. 0.062 0.018 22.93 6.909 2.12535 0. 0. 0.
10.178 2.11 -1.908 2.19927 0. 0.065 0.038 21.106 7.69 2.84924 0. 0. 0.
10.302 2.634 -2.305 2.39674 0. 0.071 0.059 19.111 8.282 3.64144 0. 0. 0.
10.427 3.264 -2.805 2.71692 0. 0.08 0.081 16.993 8.912 4.73276 0. 0. 0.
10.739 5.279 -3.652 2.71587 0. 0.105 0.081 11.893 7.435 4.73213 0. 0. 0.
10.919 6.403 -2.498 1.13072 0. 0.117 0.053 9.841 4.135 1.83906 0. 0. 0.
11.453 9.393 -3.101 1.13022 0. 0.145 0.053 5.95 3.153 1.83889 0. 0. 0.
11.633 9.911 0.284 0.109036 0. 0.15 0 5.215 1.017 0.390084 0. 0. 0.
11.99 9.722 0.245 0.109034 0. 0.15 0 4.538 0.877 0.389848 0. 0. 0.
12.24 9.606 0.218 0.109049 0. 0.15 0 4.124 0.78 0.39001 0. 0. 0.
12.49 9.504 0.191 0.109057 0. 0.15 0 3.759 0.682 0.389764 0. 0. 0.
12.74 9.415 0.164 0.10907 0. 0.15 0 3.442 0.585 0.389955 0. 0. 0.
12.99 9.34 0.136 0.109047 0. 0.15 0 3.174 0.487 0.389782 0. 0. 0.
13.24 9.279 0.109 0.109051 0. 0.15 0 2.954 0.39 0.390014 0. 0. 0.
13.49 9.231 0.082 0.109059 0. 0.15 0 2.784 0.292 0.389822 0. 0. 0.
13.74 9.197 0.055 0.10906 0. 0.15 0 2.662 0.195 0.389942 0. 0. 0.
13.99 9.176 0.027 0.109059 0. 0.15 0 2.589 0.097 0.389884 0. 0. 0.
